wav_filename,wav_filesize,transcript
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.1.wav,76218,qui est alfred mon robot
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.2.wav,95198,qui est ce petit robot noir et blanc
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.3.wav,65882,toc toc toc qui est la
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.4.wav,59142,ou habites tu en ce moment
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.5.wav,52134,ou est ce que tu habites
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.6.wav,61888,tu resides ou aujourdhui
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.7.wav,51474,ou est ce que tu resides
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.8.wav,63088,aimes tu le sexe mon ami
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.9.wav,45576,est ce que tu aimes le sexe
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.10.wav,57978,tu aimes le sexe ou pas
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.11.wav,108780,tu es marie ou bien tu ne l es pas
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.12.wav,70860,es tu marie avec un autre robot
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.13.wav,72846,es tu un garcon ou une fille
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.14.wav,73784,est ce que tu es une fille ou un garcon
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.15.wav,120894,es tu vincent ou stephanie ou encore axel
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.16.wav,146258,tu es axel ou bien tu es vincent ou bien encore stephanie
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.17.wav,65950,est ce que je te derange alfred
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.18.wav,78938,alfred dis moi si je te derange
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.19.wav,51094,est ce que je te derange alfred
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.20.wav,74336,dis moi que je ne te derange pas
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.21.wav,84858,alfred tu es vraiment nul tu vois
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.22.wav,157900,je me demande si tu es stupide ou simplement ridicule voire bete
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.23.wav,123260,je trouve que tu es petit minuscule et pas bien grand
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.24.wav,137756,tu n es pas petit et je trouve meme que tu es enorme et geant
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.25.wav,127854,tu es fort et intelligent car tu as un cerveau developpe
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.26.wav,129764,tu es faible sans forces et bete car tu es stupide
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.27.wav,105512,tu es amoureux et tu peux aimer un autre robot
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.28.wav,83700,es tu amoureux ou peux tu aimer ton prochain
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.29.wav,65112,je vois que tu as les yeux bleu
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.30.wav,76854,je constate que tu as des cameras
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.31.wav,73888,tu as combien de cameras pour la vision
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.32.wav,77238,as tu des yeux pour voir des choses
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.33.wav,76900,tu as des micros ou des microphones
